               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082349,            0.030089,            0.053467,            0.090276,            0.093516,            0.093347,            0.033177,            0.040246,            0.019374,            0.037323,              0.0784,              0.0024,              0.0024
                   1,            0.056329,            0.021945,            0.042552,             0.27333,              0.4088,             0.27537,             0.10069,            0.035181,            0.012581,            0.028677,            0.055884,           0.0048838,           0.0048838
                   2,            0.064453,             0.01677,             0.03108,              0.2419,             0.41602,             0.30509,            0.098861,            0.045755,            0.011814,            0.021518,            0.033351,           0.0073512,           0.0073512
                   3,            0.059029,            0.014927,            0.027407,             0.33186,             0.66142,             0.49354,              0.2443,            0.036224,           0.0096435,            0.017792,            0.010802,            0.009802,            0.009802
                   4,            0.056115,            0.014555,            0.026042,               0.171,             0.38202,             0.18718,            0.066877,            0.046606,            0.019963,            0.047363,            0.009868,            0.009868,            0.009868
                   5,            0.052787,             0.01492,            0.026631,              0.6585,            0.084792,            0.044724,            0.020196,            0.048379,            0.025525,            0.071424,            0.009868,            0.009868,            0.009868
                   6,            0.046011,            0.015288,            0.026208,             0.02515,            0.069149,           0.0087564,           0.0028933,            0.049912,             0.12858,             0.12183,            0.009835,            0.009835,            0.009835
                   7,            0.044898,            0.014819,            0.024061,             0.84617,            0.013519,            0.020023,            0.008518,            0.055618,            0.021738,            0.066835,            0.009802,            0.009802,            0.009802
                   8,            0.044851,            0.014503,            0.023749,             0.39175,              0.6068,             0.52086,             0.29038,            0.032714,            0.015425,            0.020158,            0.009769,            0.009769,            0.009769
                   9,            0.043597,            0.014222,            0.021349,             0.52663,             0.61708,             0.59292,             0.35829,            0.029551,            0.010735,            0.020719,            0.009736,            0.009736,            0.009736
                  10,            0.040818,            0.013357,            0.020092,              0.5604,              0.5301,             0.53296,              0.3058,            0.029736,            0.011423,            0.018449,            0.009703,            0.009703,            0.009703
                  11,             0.03957,            0.013196,            0.019645,             0.58594,             0.64838,             0.63819,             0.38719,            0.025453,           0.0099017,            0.018153,             0.00967,             0.00967,             0.00967
                  12,            0.040872,            0.013376,            0.020696,             0.57925,             0.51439,             0.53001,             0.34159,             0.02833,            0.011083,            0.018569,            0.009637,            0.009637,            0.009637
